Trait	Diff	p.val	p.adj
Ischemic stroke small artery occlusion	0.441489361702128	1.0565284742135e-18	1.99472575931508e-15
Response to tamoxifen in breast cancer	0.308510638297872	1.50045189472519e-10	2.5792768070326e-07
Folding of antihelix	0.281914893617021	3.45229058714189e-16	6.42126049208391e-13
Thyroid peroxidase autoantibody levels in type 1 diabetes	0.265957446808511	3.05723581255738e-08	4.87629112102901e-05
Testicular cancer	0.264184397163121	3.76978756675769e-16	7.00803508660254e-13
Homoarginine levels	0.25531914893617	3.46269731430024e-07	0.000526329991773636
Resistance to antihypertensive treatment in hypertension	0.24468085106383	2.50605470962239e-08	4.01219359010544e-05
Basal metabolic rate	0.23936170212766	1.12082240313227e-06	0.00164424646539504
Glycemic traits pregnancy	0.238475177304965	3.53484447851535e-21	6.71973935365769e-18
Smoking status heavy vs light	0.234042553191489	2.86661807579267e-07	0.0004383059037887
Anterior chamber depth	0.228723404255319	5.14909589024392e-06	0.00722559215107766
Brugada syndrome	0.226950354609929	2.92950507778289e-18	5.51039905130962e-15
Liver injury in anti-tuberculosis drug treatment	0.226063829787234	2.33735747214819e-11	4.09972500614792e-08
Thyroid hormone levels	0.223404255319149	2.8787087285558e-08	4.59729783950362e-05
Pain	0.218085106382979	2.07485045926671e-06	0.00298570981088479
Antitragus size	0.202127659574468	2.2510075307873e-06	0.00322344278408742
Heart rate variability traits pvRSA-over-HF	0.194148936170213	2.43475909211011e-17	4.56517329770646e-14
Cutaneous squamous cell carcinoma	0.193794326241135	3.04667863119359e-21	5.7947827565302e-18
Formal thought disorder in schizophrenia	0.186170212765957	1.11579426708048e-05	0.0152194338029778
Urea levels	0.18218085106383	3.49445961424197e-15	6.4437835286622e-12
Hip circumference	0.176988348530902	7.21195849992204e-21	1.37027211498519e-17
Thyroid cancer Papillary, radiation-related	0.175531914893617	2.02095306557821e-05	0.0269797234254692
Cortical thickness	0.175531914893617	2.19179876574807e-06	0.00314084763131699
Serum 25-Hydroxyvitamin D levels	0.174086035123269	1.48537035031608e-17	2.7895255178936e-14
Childhood onset systemic lupus erythematosus	0.170212765957447	2.71966062537147e-05	0.0360083066799183
Alcohol consumption drinks per week	0.167553191489362	2.68961738566701e-06	0.00383001515718983
Epirubicin-induced leukopenia	0.164893617021277	2.91606369670368e-10	4.96605647548637e-07
Cystic fibrosis severity	0.164893617021277	6.32236306934185e-09	1.03560307075819e-05
Physical activity moderate intensity activity duration	0.162234042553191	2.06958584672936e-06	0.00298020361929027
White blood cell count monocyte	0.161157548125633	2.9165553239746e-22	5.55312133684765e-19
Hypertriglyceridemia	0.159701114488349	6.56480557288156e-15	1.2085807059675e-11
Serum urate levels in chronic kidney disease	0.159663120567376	5.14055349428842e-16	9.54086728539931e-13
Thyroid peroxidase antibody levels	0.159574468085106	7.59010151862073e-13	1.36014619213684e-09
Disrupted circadian rhythm low relative amplitude of rest-activity cycles	0.157801418439716	1.102508243685e-10	1.90072421211293e-07
Extraversion	0.157801418439716	1.55715209418743e-08	2.51791493630108e-05
Alcoholism alcohol use disorder factor score	0.157801418439716	2.14928992788888e-16	4.00412713565699e-13
Idiopathic inflammatory myopathy	0.156914893617021	6.28805732206475e-06	0.00877183996428033
Plasma homocysteine levels post-methionine load test	0.156914893617021	6.70790952909169e-10	1.12759959184031e-06
Pancreatitis	0.156028368794326	1.68905144680271e-08	2.72950713803318e-05
Vogt-Koyanagi-Harada syndrome	0.154255319148936	7.92720385231328e-06	0.0109791773354539
Pulmonary emphysema	0.152482269503546	3.96273104178997e-10	6.71682911583401e-07
Common carotid intima-media thickness in HIV infection	0.152136102668018	4.17914807487899e-19	7.9153064538208e-16
Hepcidin-over-transferrin saturation ratio	0.149113475177305	1.63586415274006e-13	2.95927825230677e-10
Isovolumetric relaxation time	0.148049645390071	8.45209122649703e-11	1.46728303691989e-07
Incident atrial fibrillation	0.147163120567376	2.71482427577786e-09	4.48760452786081e-06
Serum C3d:C3 ratio systemic complement activation	0.146276595744681	8.67606330898614e-11	1.50529698410909e-07
Chronic kidney disease and serum creatinine levels	0.145390070921986	8.37363714445602e-10	1.40174685798194e-06
Number of children ever born	0.143617021276596	1.78799475279194e-06	0.00258901640204273
Caudate nucleus volume	0.140957446808511	3.5639582070062e-07	0.00054065246000284
Hen's egg allergy	0.140957446808511	3.78919655412165e-07	0.000573305438638606
Ear morphology	0.139944275582574	2.45635637656748e-17	4.60321184968746e-14
Developmental dysplasia of the hip	0.136968085106383	7.88424310221287e-07	0.00116844482774795
Subcortical brain region volumes	0.132978723404255	6.7483377803142e-13	1.2113266315664e-09
Stroke ischemic	0.132446808510638	3.34939145188358e-13	6.03560339629422e-10
Parkinsonism in frontotemporal lobe dementia	0.12854609929078	5.46469902841744e-07	0.000818065444554091
Post-traumatic stress disorder	0.127482269503546	2.40611358453225e-08	3.85459396242067e-05
Neovascular age-related macular degeneration	0.127216312056738	3.02197955603127e-10	5.14340920436523e-07
Subiculum volume	0.127216312056738	5.69288959182529e-09	9.33064604100165e-06
Fractional excretion of metabolites in chronic kidney disease	0.125	1.13812240559077e-07	0.000177205658550482
Activated partial thromboplastin time	0.124715045592705	1.60665068995767e-14	2.9417774133125e-11
Thyroid function	0.124113475177305	1.67924026689655e-05	0.0224850271737447
Lower body strength	0.123277608915907	1.93859606255298e-11	3.40805187796813e-08
PR segment	0.123195288753799	2.70982355775094e-12	4.82348593279668e-09
Vitamin E levels	0.122340425531915	1.62565771262308e-06	0.00235882934101609
Non-small cell lung cancer survival	0.122340425531915	3.47143367413823e-07	0.000527310775101596
Electrocardiographic conduction measures	0.120472391084093	5.50970552481441e-12	9.76319818997113e-09
Cardiac repolarization	0.120124113475177	1.0267097762058e-09	1.71768545559231e-06
Angiotensin-converting enzyme activity	0.11968085106383	2.18478908322657e-06	0.00313517233443013
Proteinuria and chronic kidney disease	0.11968085106383	7.24581018946775e-07	0.00107690924996853
Hedonic well-being	0.11968085106383	2.86780026354127e-08	4.58274482113896e-05
Age at smoking initiation in chronic obstructive pulmonary disease	0.119318889369858	7.09684930673264e-15	1.30440090257746e-11
Subjective response to lithium treatment in bipolar disorder	0.117464539007092	1.51430791408156e-06	0.00220302229114917
Periodontitis PAL4Q3	0.114097855454239	2.41519831789632e-12	4.30146820417334e-09
Parental longevity combined parental age at death	0.113652482269504	2.56295196580925e-11	4.49285479606361e-08
Hirschsprung disease	0.113475177304965	2.67840757706332e-20	5.08093917368912e-17
B-type natriuretic peptide to N-terminal pro B-type natriuretic peptide ratio	0.11258865248227	9.78558668148054e-07	0.00144337403551838
Blood glucose levels	0.111702127659574	5.39380055521104e-06	0.00755132077729546
Percent glycated albumin	0.111702127659574	1.03540179546909e-05	0.0141746505799718
Alcohol dependence or chronic alcoholic pancreatitis or alcohol-related liver cirrhosis	0.109929078014184	3.14371361771061e-06	0.00446092962353135
Digit length ratio	0.1096757852077	3.5649572837178e-11	6.22798037465499e-08
Craniofacial microsomia	0.109121803137761	5.0258482490259e-13	9.03144930349955e-10
Hoarding	0.108156028368794	1.60998932469779e-06	0.00233770449946119
Blue vs. green eyes	0.108156028368794	4.20496424447505e-07	0.000634529104491285
Area under the curve of insulin levels	0.106382978723404	1.27456967932094e-06	0.00186469544084654
Post bronchodilator FEV1-over-FVC ratio in smoking	0.106382978723404	2.09094695523903e-14	3.81806914026647e-11
Two-hour glucose challenge	0.105851063829787	2.51726044767743e-07	0.00038589602662895
Insulin-like growth factors	0.10540780141844	8.27288999931778e-06	0.0114414068690565
Esophageal cancer squamous cell	0.105141843971631	1.21328919378646e-08	1.97280822909679e-05
Lobe size	0.105053191489362	5.00343913535001e-07	0.000752016902043107
Adverse response to chemotherapy in breast cancer alopecia cyclophosphamide+doxorubicin+-over--5FU	0.104609929078014	2.00782492914917e-10	3.43940410363253e-07
Stearic acid 18:0 levels	0.104377744005404	6.74400384872666e-12	1.19233988045487e-08
IgG glycosylation patterns	0.103482403599738	5.0895829782773e-07	0.00076445536333725
White blood cell count neutrophil	0.100177304964539	4.46550280542012e-10	7.56456175238167e-07
Circulating phylloquinone levels	0.100177304964539	1.66131745509713e-05	0.0222616538983015
White matter hyperintensities in ischemic stroke	0.1	2.97072278724364e-09	4.90169259895201e-06
Prevalent atrial fibrillation	0.0990374873353597	1.02543347696076e-10	1.77194904818819e-07
Alcohol use disorder total score	0.0982108317214699	1.68169459114173e-12	3.00182484518798e-09
Plasma trimethyllysine levels	0.0975177304964539	8.50014163142102e-08	0.000133282220780682
Celiac disease or Rheumatoid arthritis	0.096757852077001	3.50396009157597e-08	5.5712965456058e-05
Nonalcoholic fatty liver disease	0.0958037825059102	3.71205733838564e-07	0.000562376686765424
Suicide attempts	0.0951101763111842	3.83274427202572e-10	6.50033428535562e-07
Blond vs. brown hair color	0.0930851063829787	9.62948625525042e-06	0.0132405436009693
Response to Vitamin E supplementation	0.0930851063829787	9.58107213133677e-06	0.0131835552527194
Pediatric bone mineral density hip	0.0929078014184397	1.19856657501026e-11	2.11187430516808e-08
Methotrexate phramacokinetics acute lymphoblastic leukemia	0.0924046139545779	1.76033614222424e-23	3.3552006870794e-20
Systolic blood pressure in sickle cell anemia	0.0909848868625465	2.27510557074789e-10	3.88815542040814e-07
Heart rate variability traits RMSSD	0.0904761904761905	2.76688882524192e-07	0.000423610679144537
Renal function-related traits BUN	0.0902519466349254	5.05306901255569e-11	8.80749928888457e-08
Optic nerve measurement rim area	0.0902482269503546	2.01257049017374e-07	0.000309734598437738
Hematology traits	0.0898667526327101	2.76991076108678e-15	5.11602517572729e-12
Serum tamsulosin hydrochloride concentration	0.0895390070921985	1.5032442067822e-07	0.000232100905527172
Arthritis juvenile idiopathic	0.0893617021276596	1.75745408010613e-10	3.0122762933019e-07
Hair shape	0.0892287234042553	2.8223356941268e-13	5.09149359220475e-10
Osteoporosis-related phenotypes	0.0891843971631205	1.35504583425681e-07	0.000209761095142955
Basal cell carcinoma	0.0889567120876732	8.91533626211031e-19	1.68589008716506e-15
Alcohol consumption	0.0882196925415011	3.17162795371803e-11	5.54400566309912e-08
Autoimmune thyroid diseases Graves disease or Hashimoto's thyroiditis	0.0877659574468086	8.26449639239754e-08	0.000129669948396717
Palmitic acid 16:0 levels	0.0875053728777133	2.67127272800252e-11	4.67739854673242e-08
Waist-to-hip ratio adjusted for BMI x sex interaction	0.0872424378697306	5.01845477083793e-17	9.38451042146693e-14
Cardiovascular disease risk factors	0.0869922630560929	6.30120383343586e-10	1.06049260516726e-06
DNA methylation parent-of-origin	0.0868794326241136	3.7287702296441e-06	0.0052762098749464
Hippocampal volume in Alzheimer's disease dementia	0.086436170212766	4.81989383618963e-09	7.91908557285956e-06
Event-related brain oscillations	0.0859929078014185	1.98638326854504e-08	3.19211791255188e-05
Cannabis use	0.0853871158392435	6.24192170637412e-10	1.0511396153534e-06
Obstructive sleep apnea trait average respiratory event duration	0.0851063829787234	9.64035697034156e-07	0.00142291668882241
Thyroid peroxidase antibody positivity	0.0847369976359337	3.62814487418548e-07	0.000550026762926519
Asthma moderate or severe	0.0846373123533075	1.47987902701891e-18	2.79105184495766e-15
Urinary albumin-to-creatinine ratio	0.0845422308188266	4.17020351190803e-11	7.27700512827951e-08
Common carotid intima-media thickness	0.0845301418439716	2.62272790174457e-09	4.33799194948552e-06
Empathy quotient	0.0835106382978724	1.19943124058831e-05	0.0162762819347833
IgE levels	0.0826926176660219	7.27398851147157e-12	1.28385897227473e-08
Severity of facial solar lentigines	0.0824468085106383	3.10087147318565e-05	0.0408694860165869
Aging time to event	0.0821175278622087	3.25689511915385e-07	0.000496350816159047
Current cigarettes per day in chronic obstructive pulmonary disease	0.0817819148936172	1.91203424280977e-09	3.17206480882141e-06
Late-onset myasthenia gravis	0.0808700607902735	1.17826145719876e-06	0.00172615303479618
